#type	etaMin	etaMax	r9Min	r9Max	gain	etMin	etMax
scale	0.	1.4442	-1	-1	-1	0	40
scale	0.	1.4442	-1	-1	-1	40	60
scale	0.	1.4442	-1	-1	-1	60	100
scale	0.	1.4442	-1	-1	-1	100	14000
scale	1.566	2.5	-1	-1	-1	0	40
scale	1.566	2.5	-1	-1	-1	40	60
scale	1.566	2.5	-1	-1	-1	60	100
scale	1.566	2.5	-1	-1	-1	100	14000
smear	0.	1.4442	-1	-1	-1	0	40
smear	0.	1.4442	-1	-1	-1	40	60
smear	0.	1.4442	-1	-1	-1	60	100
smear	0.	1.4442	-1	-1	-1	100	14000
smear	1.566	2.5	-1	-1	-1	0	40
smear	1.566	2.5	-1	-1	-1	40	60
smear	1.566	2.5	-1	-1	-1	60	100
smear	1.566	2.5	-1	-1	-1	100	14000
